CRN,latitude,longitude,year,month,hour,day,weather,road_cond,light_cond,severity
2024058740,40.135354,-79.409414,2024,5,,1,3.0,1,,0
2024058744,40.978108,-80.168462,2024,6,,7,3.0,1,,3
2024058754,41.358478,-75.068168,2024,6,,6,3.0,1,,0
2024058760,40.571742,-75.91388,2024,7,,5,3.0,1,,3
2024058778,40.704348,-77.981276,2024,7,,5,3.0,1,,0
2024058910,40.881767,-79.370406,2024,5,,5,3.0,1,,4
2024058916,40.798722,-78.005154,2024,6,,1,3.0,1,,3
2024058964,40.21627,-80.223485,2024,7,,7,3.0,1,,0
2024058975,39.897604,-77.423815,2024,6,,2,3.0,1,,0
2024059017,41.103806,-75.44059,2024,6,,5,3.0,1,,0
2024059054,40.95609,-76.455087,2024,7,,4,,1,,3
2024059152,40.708843,-75.883998,2024,7,,1,3.0,1,,3
2024059155,40.217523,-75.942924,2024,7,,1,3.0,1,,0
2024059158,40.416057,-75.343243,2024,7,,4,3.0,1,,0
2024059305,40.336203,-75.493172,2024,5,,6,3.0,1,,3
2024059316,41.60743,-77.104076,2024,6,,5,3.0,1,,0
2024059356,40.346663,-80.199138,2024,7,,4,3.0,1,,0
2024059357,41.047411,-80.126705,2024,7,,4,3.0,1,,0
2024059363,40.46542,-80.291451,2024,7,,4,3.0,1,,0
2024059392,40.33838,-80.182737,2024,7,,1,3.0,1,,0
2024059416,40.300904,-79.01133,2024,7,,2,3.0,1,,0
2024059463,40.292377,-80.104241,2024,7,,2,3.0,1,,3
2024059511,40.411321,-80.075386,2024,6,,6,3.0,1,,0
2024059528,39.873214,-78.696119,2024,6,,3,3.0,1,,0
2024059547,39.926384,-80.163189,2024,6,,1,3.0,1,,0
2024059548,39.858284,-78.623496,2024,6,,1,3.0,1,,0
2024059558,39.970849,-78.626572,2024,7,,3,3.0,1,,4
2024059560,41.393079,-77.062359,2024,7,,4,3.0,1,,0
2024059643,39.990345,-76.318571,2024,7,,4,3.0,1,,0
2024059653,40.071417,-75.49408,2024,7,,3,3.0,1,,0
2024059710,40.551162,-78.395989,2024,6,,2,3.0,1,,0
2024059751,39.915246,-76.795013,2024,7,,3,3.0,1,,0
2024059811,40.528154,-75.778176,2024,6,,2,3.0,1,,0
2024059920,40.730936,-75.617935,2024,5,,7,3.0,1,,0
2024059921,40.711027,-75.50954,2024,5,,7,3.0,1,,0
2024059934,39.910147,-75.362259,2024,5,,1,3.0,1,,0
2024059939,39.840973,-76.68744,2024,5,,3,3.0,1,,3
2024059986,39.798476,-76.676413,2024,6,,7,3.0,1,,0
2024059988,39.968635,-80.01796,2024,6,,7,3.0,1,,1
2024060029,40.968203,-80.382713,2024,6,,6,3.0,1,,0
2024060030,41.547209,-75.650784,2024,6,,6,3.0,1,,4
2024060049,39.867785,-78.616479,2024,6,,1,3.0,1,,0
2024060061,41.322448,-75.551347,2024,7,,2,3.0,1,,3
2024060064,40.075234,-79.909496,2024,7,,3,3.0,1,,0
2024060066,41.198578,-79.496429,2024,7,,3,3.0,1,,0
2024060088,40.620792,-76.989356,2024,7,,4,3.0,1,,3
2024060094,40.045642,-79.058738,2024,7,,5,3.0,1,,3
2024060096,41.071237,-75.426962,2024,7,,5,3.0,1,,3
2024060136,39.763489,-76.664953,2024,7,,1,3.0,1,,0
2024060152,41.778789,-80.183512,2024,7,,1,3.0,1,,0
2024060157,41.04052,-77.465009,2024,7,,2,3.0,1,,0
2024060165,40.51072,-76.192348,2024,7,,2,3.0,1,,0
2024060167,41.275354,-75.520839,2024,7,,2,3.0,1,,0
2024060177,40.919257,-77.853751,2024,7,,4,3.0,1,,0
2024060214,40.17032,-76.149522,2024,7,,4,3.0,1,,0
2024060215,41.076701,-76.385339,2024,6,,3,3.0,1,,2
2024060231,40.247836,-76.249205,2024,7,,1,3.0,1,,0
2024060267,39.794966,-78.225296,2024,6,,5,3.0,1,,0
2024060277,39.953378,-80.166911,2024,7,,3,3.0,1,,0
2024060282,42.016992,-80.128554,2024,7,,6,3.0,1,,0
2024060341,41.055933,-75.543197,2024,6,,1,3.0,1,,8
2024060344,41.013813,-75.48095,2024,7,,7,3.0,1,,0
2024060411,39.976542,-76.585206,2024,5,,1,3.0,1,,0
2024060416,39.743955,-76.024643,2024,6,,4,7.0,9,,0
2024060420,40.429786,-75.619475,2024,6,,3,3.0,1,,9
2024060423,40.224733,-76.063094,2024,6,,7,3.0,1,,0
2024060438,39.948864,-76.680934,2024,6,,3,3.0,1,,0
2024060483,41.478149,-75.537265,2024,7,,5,3.0,1,,0
2024060496,40.380874,-79.828456,2024,7,,2,3.0,1,,3
2024060510,40.226376,-74.948494,2024,6,,5,3.0,1,,0
2024060539,40.112792,-75.089839,2024,6,,6,3.0,1,,0
2024060547,40.72976,-75.545472,2024,6,,3,99.0,1,,0
2024060549,40.792696,-75.516809,2024,6,,6,3.0,1,,0
2024060561,40.006847,-76.685358,2024,7,,6,3.0,1,,3
2024060571,40.367306,-75.947194,2024,7,,6,3.0,1,,0
2024060582,40.811594,-78.078249,2024,6,,7,3.0,1,,0
2024060583,40.697836,-78.214663,2024,6,,6,3.0,1,,0
2024060589,39.915405,-80.127198,2024,6,,7,3.0,1,,0
2024060602,40.210521,-76.751271,2024,7,,1,3.0,1,,0
2024060697,41.560788,-75.778515,2024,7,,4,3.0,1,,0
2024060750,40.761301,-79.627997,2024,7,,3,3.0,1,,0
2024060753,40.182136,-77.115308,2024,7,,4,3.0,1,,0
2024060761,40.748335,-79.656149,2024,7,,1,3.0,1,,0
2024060780,40.370555,-75.817103,2024,7,,5,3.0,1,,0
2024060785,40.666584,-79.715829,2024,7,,6,4.0,1,,0
2024060851,40.408532,-79.721814,2024,6,,6,3.0,1,,0
2024060853,40.166939,-79.493005,2024,7,,3,3.0,1,,3
2024060860,40.591124,-77.971999,2024,7,,2,3.0,1,,2
2024060964,40.50428,-79.432342,2024,6,,1,3.0,1,,8
2024060978,40.191027,-79.989235,2024,7,,6,4.0,1,,0
2024061007,40.242386,-75.695933,2024,6,,5,3.0,1,,3
2024061042,40.674406,-79.713947,2024,6,,5,3.0,1,,0
2024061045,40.470677,-76.577204,2024,6,,4,3.0,1,,0
2024061046,41.666741,-79.023882,2024,6,,7,3.0,1,,0
2024061051,39.912706,-79.734196,2024,6,,2,3.0,1,,0
2024061139,41.182218,-78.615744,2024,7,,5,3.0,1,,9
2024061145,41.252897,-75.820164,2024,7,,7,3.0,1,,0
2024061185,40.437317,-78.48345,2024,7,,2,4.0,1,,4
2024061235,41.972952,-79.844909,2024,6,,7,3.0,1,,8
2024061237,41.181207,-79.769571,2024,6,,7,3.0,1,,0
2024061238,41.284871,-79.910315,2024,6,,4,3.0,1,,0
2024061248,40.725072,-77.269946,2024,7,,1,3.0,1,,4
2024061270,41.136017,-79.693245,2024,7,,7,3.0,1,,3
2024061271,41.88673,-80.176344,2024,7,,1,3.0,1,,0
2024061319,40.016809,-76.814032,2024,7,,1,3.0,1,,0
2024061595,39.861864,-77.097366,2024,7,,3,3.0,1,,0
2024061632,41.099124,-75.338252,2024,7,,4,,9,,0
2024061792,40.101386,-76.258852,2024,7,,4,3.0,1,,3
2024061867,41.267679,-80.443759,2024,7,,2,3.0,1,,0
2024061904,40.85795,-76.545631,2024,7,,4,3.0,1,,0
2024061911,39.851694,-75.661074,2024,7,,2,3.0,1,,4
2024061997,40.352228,-76.721411,2024,5,,6,3.0,1,,0
2024062010,39.891511,-77.350989,2024,6,,7,3.0,1,,3
2024062030,41.781201,-77.078366,2024,6,,5,3.0,1,,0
2024062031,40.047834,-77.150954,2024,6,,5,3.0,1,,0
2024062046,41.660605,-80.317738,2024,6,,7,3.0,1,,9
2024062050,39.808528,-76.448889,2024,6,,1,3.0,1,,4
2024062080,41.327785,-79.658335,2024,7,,6,4.0,1,,0
